start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                              |
| ('2018-01-29_17-43-00-626157', 5)  |      0.680 |     0.686 |       9 | tensorflow | LSTM_05add   |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   807.487 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-23-09-423823', 10) |      0.680 |     0.715 |      10 | tensorflow | LSTM_05add   |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   603.084 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']                   |
| ('2018-01-29_17-43-00-750472', 9)  |      0.677 |     0.682 |      10 | tensorflow | LSTM_05add   |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   583.904 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-43-00-199606', 4)  |      0.677 |     0.682 |      12 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   267.328 | ['--system', 'hpc', '--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                                |
| ('2018-01-29_17-43-00-199606', 8)  |      0.677 |     0.661 |      14 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   329.103 | ['--system', 'hpc', '--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                                |
| ('2018-01-29_17-43-00-620883', 4)  |      0.677 |     0.669 |       8 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   192.907 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_300_lc']                                                                                                                                                                                                                          |
| ('2018-01-29_17-43-00-608642', 5)  |      0.677 |     0.694 |       6 | tensorflow | LSTM_05conc  |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   284.082 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']            |
| ('2018-01-29_17-43-00-608642', 9)  |      0.677 |     0.702 |       9 | tensorflow | LSTM_05conc  |              100 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   438.966 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']            |
| ('2018-01-29_17-43-00-620883', 1)  |      0.677 |     0.682 |      10 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   221.064 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_300_lc']                                                                                                                                                                                                                          |
| ('2018-01-29_17-23-09-600022', 3)  |      0.677 |     0.678 |      18 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |  1818.756 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']       |
