/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
| ('2018-01-22_22-18-32-117022', 1)  |      0.687 |     0.690 |      12 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |   335.941 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.2', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_21-08-58-141727', 8)  |      0.687 |     0.682 |       8 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.700 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   313.698 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.7', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_13-59-43-430267', 1)  |      0.687 |     0.690 |      15 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   487.860 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
| ('2018-01-22_22-14-02-713024', 8)  |      0.687 |     0.744 |      10 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.050 | embeddings_cache_file_word2vec               |          nan |      3 |   365.369 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.05', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_21-08-58-175582', 7)  |      0.687 |     0.715 |      12 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.300 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   409.779 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.3', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_14-23-53-197547', 2)  |      0.687 |     0.674 |      13 | tensorflow | LSTM_05add   |              300 |       100 |          64 | softmax       | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   433.202 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softmax', '--emb_dir', '../embeddings/']                 |
| ('2018-01-22_22-32-56-297108', 5)  |      0.687 |     0.674 |      12 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      0 |   389.780 | ['--runs', '10', '--classifier', 'LSTM_05add', '--rich', '0', '--emb_dir', '../embeddings/']                              |
| ('2018-01-22_22-32-56-297108', 4)  |      0.687 |     0.694 |      12 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      0 |   391.511 | ['--runs', '10', '--classifier', 'LSTM_05add', '--rich', '0', '--emb_dir', '../embeddings/']                              |
| ('2018-01-22_21-50-41-870373', 3)  |      0.684 |     0.702 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   350.003 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_13-59-28-307292', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   225.140 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.9', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_21-08-58-128726', 7)  |      0.684 |     0.661 |      13 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec               |          nan |      3 |   448.730 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'd2v', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_21-44-34-962165', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   225.696 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'relu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_21-44-34-962165', 10) |      0.684 |     0.669 |      14 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   502.754 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'relu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_21-08-58-141467', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       175 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   368.443 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '175', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_22-34-44-506288', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      2 |   222.604 | ['--runs', '10', '--classifier', 'LSTM_05add', '--rich', '2', '--emb_dir', '../embeddings/']                              |
| ('2018-01-22_21-52-12-126107', 8)  |      0.684 |     0.674 |      12 | tensorflow | LSTM_05add   |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   430.266 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_13-59-28-452594', 4)  |      0.684 |     0.694 |      13 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adamax      | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   414.435 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'adamax', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_22-19-50-661899', 1)  |      0.684 |     0.651 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.350 | embeddings_cache_file_word2vec               |          nan |      3 |   272.868 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.35', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_21-08-58-166982', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   225.318 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.9', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_22-18-12-243989', 8)  |      0.684 |     0.661 |      13 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.150 | embeddings_cache_file_word2vec               |          nan |      3 |   434.985 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.15', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_13-59-41-513886', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   245.140 | ['--runs', '10', '--classifier', 'LSTM_05add', '--loss', 'binary_crossentropy', '--emb_dir', '../embeddings/']            |
| ('2018-01-22_13-59-28-779007', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   227.557 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'adam', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_14-14-13-371703', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   225.106 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'relu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_13-59-28-726813', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   240.945 | ['--runs', '10', '--classifier', 'LSTM_05add', '--lstm_size', '64', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_22-32-56-297108', 2)  |      0.684 |     0.682 |       7 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      0 |   224.927 | ['--runs', '10', '--classifier', 'LSTM_05add', '--rich', '0', '--emb_dir', '../embeddings/']                              |
| ('2018-01-22_21-08-58-160235', 8)  |      0.684 |     0.665 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.100 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   402.853 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.1', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_14-23-54-347314', 3)  |      0.684 |     0.702 |      11 | tensorflow | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   359.716 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
