start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss               |   batch_size |   dropout |   vsplit | embedding                  |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                         |
| ('2018-01-29_17-12-09-578696', 5)  |      0.680 |     0.707 |      10 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           64 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |   640.412 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '64']             |
| ('2018-01-29_17-12-09-567500', 4)  |      0.680 |     0.692 |      13 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.900 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |  1293.216 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.2', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-548630', 7)  |      0.680 |     0.690 |      13 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |  1468.816 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-575680', 1)  |      0.680 |     0.665 |      12 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |   621.818 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '32']             |
| ('2018-01-29_17-12-11-886497', 5)  |      0.680 |     0.642 |      12 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           64 |     0.800 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   634.690 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.4', '--batch_size', '64']             |
| ('2018-01-29_17-12-09-401218', 8)  |      0.680 |     0.662 |      12 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |  1059.934 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '64']  |
| ('2018-01-29_17-12-09-370595', 2)  |      0.680 |     0.709 |       8 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.800 |    0.200 | custom_embedding_sg_300_lc |          nan |      3 |   711.650 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.2', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-578583', 4)  |      0.680 |     0.736 |       9 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |   532.997 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.05', '--batch_size', '32']            |
| ('2018-01-29_17-12-15-282216', 7)  |      0.680 |     0.656 |      17 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |  1210.751 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']  |
| ('2018-01-29_17-12-09-576863', 10) |      0.680 |     0.711 |       6 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   438.660 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-12-09-515034', 2)  |      0.677 |     0.719 |      10 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error |           64 |     0.800 |    0.050 | custom_embedding_sg_300_lc |          nan |      3 |  1141.717 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.05', '--batch_size', '64'] |
| ('2018-01-29_17-12-09-576863', 4)  |      0.677 |     0.707 |       8 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.800 |    0.100 | custom_embedding_sg_300_lc |          nan |      3 |   486.831 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.8', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-12-15-282018', 6)  |      0.677 |     0.646 |      14 | tensorflow | LSTM_05conc  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh            |           32 |     0.900 |    0.400 | custom_embedding_sg_300_lc |          nan |      3 |   659.358 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.4', '--batch_size', '32']             |
