/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend   | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
| ('2018-01-22_16-53-07-729070', 3)  |      0.668 |     0.657 |      13 | theano    | LSTM_05add   |              100 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_hs_iter25_cb_100            |          nan |      3 |  1703.676 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ce_cb_hs_i25_100', '--emb_dir', '../embeddings/']          |
| ('2018-01-22_16-51-30-342324', 1)  |      0.668 |     0.674 |      11 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adamax      | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3470.878 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'adamax', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_16-51-29-421955', 2)  |      0.668 |     0.669 |       7 | theano    | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1296.632 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-718517', 1)  |      0.668 |     0.694 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3034.426 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_16-53-07-729069', 2)  |      0.665 |     0.674 |      18 | theano    | LSTM_05add   |              100 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_iter20_sg_100_lc            |          nan |      3 |  2242.928 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ce_sg_i20_100_lc', '--emb_dir', '../embeddings/']          |
| ('2018-01-22_16-53-06-694358', 2)  |      0.665 |     0.674 |      14 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_ftx_hs_iter20_cb_300        |          nan |      3 |  2475.581 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ce_ftx_cb_hs_i20_300', '--emb_dir', '../embeddings/']      |
| ('2018-01-22_16-51-30-346477', 1)  |      0.665 |     0.694 |       6 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.700 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2852.274 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.7', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-383077', 1)  |      0.661 |     0.694 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.050 | embeddings_cache_file_word2vec               |          nan |      3 |  3788.654 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.05', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-29-660948', 10) |      0.661 |     0.624 |      10 | theano    | LSTM_05add   |              300 |        10 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   519.891 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '10', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-53-07-729069', 3)  |      0.661 |     0.678 |      17 | theano    | LSTM_05add   |              100 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_iter20_sg_100_lc            |          nan |      3 |  2091.383 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ce_sg_i20_100_lc', '--emb_dir', '../embeddings/']          |
