/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                       |
| ('2018-01-22_17-27-07-749215', 1)  |      0.680 |     0.661 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   469.070 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adam', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_17-10-42-738992', 1)  |      0.680 |     0.702 |      11 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adagrad     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   366.603 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adagrad', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-54-202528', 3)  |      0.680 |     0.698 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   575.313 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '64', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_17-10-42-720770', 1)  |      0.680 |     0.669 |       8 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   276.544 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-52-680192', 10) |      0.680 |     0.678 |      10 | tensorflow | LSTM_05conc  |              300 |       150 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   560.840 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--padding', '150', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_17-10-42-738992', 5)  |      0.680 |     0.694 |      12 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adagrad     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   418.146 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'adagrad', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_18-34-37-984809', 5)  |      0.680 |     0.690 |      12 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   431.483 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
| ('2018-01-22_16-58-54-202528', 8)  |      0.680 |     0.661 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   363.682 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '64', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_18-34-38-836631', 3)  |      0.680 |     0.669 |      12 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   401.235 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'binary_crossentropy', '--emb_dir', '../embeddings/']            |
| ('2018-01-22_16-58-52-544582', 5)  |      0.680 |     0.702 |       6 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.500 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   272.166 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--dropout', '0.5', '--emb_dir', '../embeddings/']                         |
