/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                   |   pred_acc |   val_acc |   epoch | backend    | classifier     |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                             |
| ('2018-01-08_02-44-59-364714', 2) |      0.677 |     0.678 |      13 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   302.982 | ['--classifier', 'LSTM_01']                                                                                                                                                                                                                      |
| ('2018-01-21_18-20-26-213151', 2) |      0.677 |     0.694 |      10 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc   |          nan |      3 |   420.461 | ['--classifier', 'LSTM_05conc', '--embedding', 'd2v_pf_lc']                                                                                                                                                                                      |
| ('2018-01-08_14-12-45-559667', 2) |      0.677 |     0.653 |      11 | tensorflow | LSTM_02d       |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   477.391 | ['--classifier', 'LSTM_02d']                                                                                                                                                                                                                     |
| ('2018-01-09_19-44-16-723920', 1) |      0.677 |     0.640 |       7 | tensorflow | ATT_LSTM_03    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   141.967 | ['--patience', '5', '--classifier', 'ATT_LSTM_03']                                                                                                                                                                                               |
| ('2018-01-23_00-17-08-646162', 3) |      0.677 |     0.723 |      10 | theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   602.111 | ['--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                  |
| ('2018-01-21_21-22-47-120442', 3) |      0.677 |     0.678 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   192.293 | ['--epochs', '10']                                                                                                                                                                                                                               |
| ('2018-01-22_23-31-07-987693', 3) |      0.677 |     0.690 |       9 | theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_sg_300                       |          nan |      3 |   419.173 | ['--embedding', 'ce_sg_300']                                                                                                                                                                                                                     |
| ('2018-01-10_00-04-39-392770', 3) |      0.674 |     0.661 |       4 | tensorflow | LSTM_02a       |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   131.101 | ['--classifier', 'LSTM_02a']                                                                                                                                                                                                                     |
| ('2018-01-25_01-35-04-052470', 1) |      0.674 |     0.678 |      17 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter05_sg_300_lc_wiki |          nan |      3 |   859.704 | ['--embedding', 'ce_wiki_lc', '--classifier', 'LSTM_05conc']                                                                                                                                                                                     |
| ('2018-01-08_17-11-10-891132', 2) |      0.674 |     0.719 |      14 | tensorflow | LSTM_05add     |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |  1648.226 | ['--classifier', 'LSTM_05add']                                                                                                                                                                                                                   |
| ('2018-01-09_22-04-17-678477', 1) |      0.674 |     0.636 |      14 | tensorflow | ATT_LSTM_03b3  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   749.231 | ['--patience', '5', '--classifier', 'ATT_LSTM_03b3']                                                                                                                                                                                             |
| ('2018-01-09_19-51-12-086524', 1) |      0.674 |     0.698 |      10 | tensorflow | ATT_LSTM_04    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   182.416 | ['--patience', '5', '--classifier', 'ATT_LSTM_04']                                                                                                                                                                                               |
| ('2018-01-06_22-52-49-547038', 3) |      0.674 |     0.694 |       8 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   203.430 | ['--padding', '47']                                                                                                                                                                                                                              |
| ('2018-01-08_18-12-13-449025', 1) |      0.674 |     0.727 |      13 | tensorflow | LSTM_05avg     |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |  1500.776 | ['--patience', '5', '--classifier', 'LSTM_05avg']                                                                                                                                                                                                |
| ('2018-01-11_00-46-19-833776', 2) |      0.674 |     0.653 |       6 | tensorflow | CNN_02         |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |    78.886 | ['--classifier', 'CNN_02']                                                                                                                                                                                                                       |
| ('2018-01-17_22-52-00-370923', 3) |      0.674 |     0.665 |       8 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   196.469 | []                                                                                                                                                                                                                                               |
| ('2018-01-07_04-19-46-586228', 3) |      0.674 |     0.674 |       8 | tensorflow | CNN_LSTM_01    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   199.709 | ['--classifier', 'CNN_LSTM_01']                                                                                                                                                                                                                  |
| ('2018-01-09_19-51-12-086524', 3) |      0.671 |     0.678 |       5 | tensorflow | ATT_LSTM_04    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   100.554 | ['--patience', '5', '--classifier', 'ATT_LSTM_04']                                                                                                                                                                                               |
| ('2018-01-09_19-44-16-723920', 2) |      0.671 |     0.665 |      11 | tensorflow | ATT_LSTM_03    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   260.562 | ['--patience', '5', '--classifier', 'ATT_LSTM_03']                                                                                                                                                                                               |
| ('2018-01-09_21-02-20-827206', 1) |      0.671 |     0.603 |      14 | tensorflow | ATT_LSTM_03a   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   754.645 | ['--patience', '5', '--classifier', 'ATT_LSTM_03a']                                                                                                                                                                                              |
| ('2018-01-11_00-21-37-878888', 1) |      0.671 |     0.661 |      15 | tensorflow | CNN_01         |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   368.477 | ['--classifier', 'CNN_01']                                                                                                                                                                                                                       |
| ('2018-01-06_23-46-12-836283', 1) |      0.671 |     0.652 |       8 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec                |          nan |      3 |    84.605 | ['--padding', '47', '--runs', '5', '--vsplit', '0.4']                                                                                                                                                                                            |
| ('2018-01-06_21-00-58-547960', 1) |      0.671 |     0.702 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_iter20_sg_300_lc             |          nan |      3 |   211.445 | ['--embedding', 'ce_sg_i20_300_lc', '--epochs', '40']                                                                                                                                                                                            |
| ('2018-01-06_21-22-43-940136', 1) |      0.671 |     0.661 |      14 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq      |          nan |      3 |  1026.640 | ['--embedding', 'd2v_pf', '--epochs', '40']                                                                                                                                                                                                      |
| ('2018-01-21_20-16-08-997170', 3) |      0.671 |     0.657 |       6 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   161.309 | ['--epochs', '10']                                                                                                                                                                                                                               |
| ('2018-01-23_20-07-29-536655', 2) |      0.671 |     0.682 |       8 | theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   340.717 | ['--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                  |
| ('2018-01-23_00-17-08-646162', 2) |      0.671 |     0.682 |       8 | theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   504.791 | ['--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                  |
| ('2018-01-06_22-52-32-049368', 1) |      0.668 |     0.674 |      11 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   459.184 | []                                                                                                                                                                                                                                               |
| ('2018-01-07_01-51-55-304775', 1) |      0.668 |     0.682 |      14 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   310.112 | ['--dense_factor', '4']                                                                                                                                                                                                                          |
| ('2018-01-07_04-06-43-731545', 2) |      0.668 |     0.665 |       9 | tensorflow | CNN_LSTM_01    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   223.742 | ['--patience', '3', '--classifier', 'CNN_LSTM_01']                                                                                                                                                                                               |
| ('2018-01-07_02-05-14-348855', 3) |      0.668 |     0.642 |      17 | tensorflow | LSTM_01        |              300 |       125 |          64 | relu          | sigmoid       | adam        | mean_squared_logarithmic_error |           64 |     0.800 |    0.400 | embeddings_cache_file_dict2vec_prov_freq_lc   |          nan |      3 |   314.241 | ['--epochs', '40', '--embedding', 'd2v_pf_lc', '--lstm_size', '64', '--loss', 'mean_squared_logarithmic_error', '--padding', '125', '--batch_size', '64', '--optimizer', 'adam', '--vsplit', '0.4', '--activation1', 'relu', '--dropout', '0.8'] |
